List,Order,Item,Context,Box,Gender,Condition,BoxName,GenderName,FirstDisplay,SecondDisplay
1,2,P1,The swimmer is below the drill.,,,,,,Filler1.jpg,Filler2.jpg
1,3,P2,The monkey next to the grapes is on Number 2.,,,,,,P2_1.jpg,P2_2.jpg
1,4,P4,The woman above the piano and the coat is on Number 1.,,,,,,P4_1.jpg,P4_2.jpg
1,5,X09,The delivery man is on the same line as the hand.,2,,,,,X09_9_1.jpg,X09_9_2.jpg
1,6,P6,The waiter is on number 5 and he is below the pipe.,1,,,,,P6_1.jpg,P6_2.jpg
1,7,X62,The teacher is on Number 5.,1,,,,,X62_9_1.jpg,X62_9_2.jpg
1,8,22,The grandfather below the boy is on Number 4.,2,0,1,two boxes,match,E22_1_1.jpg,E22_1_2.jpg
1,9,X20,The diamond is next to the earth.,2,,,,,X20_9_1.jpg,X20_9_2.jpg
1,10,X41,"On Number 5, there is a helmet.",1,,,,,X41_9_1.jpg,X41_9_2.jpg
1,11,25,The fairy below the king is on Number 4.,1,1,4,one box,mismatch,E25_4_1.jpg,E25_4_2.jpg
1,12,P5,The tractor below the wheelbarrow is on Number 4.,2,,,,,P5_1.jpg,P5_2.jpg
1,13,37,The barber next to the groom is on Number 3.,1,0,3,one box,match,E37_3_1.jpg,E37_3_2.jpg
1,14,X69,"The surgeon and the hamster are above the pot, which is on Number 4.",1,,,,,X69_9_1.jpg,X69_9_2.jpg
1,15,24,The cashier next to the prince is on Number 2.,2,1,2,two boxes,mismatch,E24_2_1.jpg,E24_2_2.jpg
1,16,X27,The olive is above the cat.,2,,,,,X27_9_1.jpg,X27_9_2.jpg
1,17,X55,There is a pineapple on Number 3.,1,,,,,X55_9_1.jpg,X55_9_2.jpg
1,18,15,The priest next to the mechanic is on Number 5.,2,0,1,two boxes,match,E15_1_1.jpg,E15_1_2.jpg
1,19,X31,The socket is next to the detective.,1,,,,,X31_9_1.jpg,X31_9_2.jpg
1,20,X15,"The moon is on Number 1, above the camera and the train.",3,,,,,X15_9_1.jpg,X15_9_2.jpg
1,21,31,The ballerina next to the fortune-teller is on Number 6.,1,0,3,one box,match,E31_3_1.jpg,E31_3_2.jpg
1,22,X02,The keyboard is on Number 3.,1,,,,,X02_9_1.jpg,X02_9_2.jpg
1,23,X52,"Below the goat, the dog is on Number 5.",2,,,,,X52_9_1.jpg,X52_9_2.jpg
1,24,4,The bricklayer below the princess is on Number 4.,2,1,2,two boxes,mismatch,E04_2_1.jpg,E04_2_2.jpg
1,25,X26,On Number 3 there is a broom.,1,,,,,X26_9_1.jpg,X26_9_2.jpg
1,26,X08,"The spoon is on Number 2, above the sheep.",2,,,,,X08_9_1.jpg,X08_9_2.jpg
1,27,2,The sailor above the queen is on Number 2.,1,1,4,one box,mismatch,E02_4_1.jpg,E02_4_2.jpg
1,28,X80,The daisy is next to the lifeguard.,2,,,,,X80_9_1.jpg,X80_9_2.jpg
1,29,X13,The comb is on Number 3.,1,,,,,X13_9_1.jpg,X13_9_2.jpg
